firstName,lastName,email,phone,title,companyName,department,seniority,linkedinUrl
Laura,Rivera,laura.rivera@puredigitalstudios.com,+1-941-209-6926,"Account Director","Pure Digital Studios",ACCOUNT_MANAGEMENT,VP,https://linkedin.com/in/laura-rivera-5218
Karen,Hall,karen.hall@puredigitalstudios.com,+1-391-431-1219,"President","Pure Digital Studios",LEADERSHIP,VP,https://linkedin.com/in/karen-hall-5959
Gary,Smith,gary.smith@futureperformancecommunications.com,+1-460-983-3552,"Senior Creative Director","Future Performance Communications",CREATIVE_SERVICES,ASSOCIATE,https://linkedin.com/in/gary-smith-3344
Steven,Johnson,steven.johnson@futureperformancecommunications.com,+1-999-969-3574,"Business Development Manager","Future Performance Communications",BUSINESS_DEVELOPMENT,COORDINATOR,https://linkedin.com/in/steven-johnson-4465
Carol,Brown,carol.brown@puresearchstudios.com,+1-257-578-3918,"Search Strategist","Pure Search Studios",SEARCH_MARKETING,COORDINATOR,https://linkedin.com/in/carol-brown-6952
Matthew,Carter,matthew.carter@puresearchstudios.com,+1-377-873-3390,"Digital Marketing Specialist","Pure Search Studios",DIGITAL_MARKETING,VP,https://linkedin.com/in/matthew-carter-9467
Ronald,Martinez,ronald.martinez@puresearchstudios.com,+1-969-740-3160,"Account Executive","Pure Search Studios",ACCOUNT_MANAGEMENT,VP,https://linkedin.com/in/ronald-martinez-4371
Jessica,Jackson,jessica.jackson@creativesocialstrategies.com,+1-386-209-2875,"Strategy Director","Creative Social Strategies",STRATEGY_PLANNING,EXECUTIVE,https://linkedin.com/in/jessica-jackson-8297
Brian,Evans,brian.evans@creativesocialstrategies.com,+1-654-559-8748,"Copywriter","Creative Social Strategies",CREATIVE_SERVICES,ASSOCIATE,https://linkedin.com/in/brian-evans-6072
Jennifer,Carter,jennifer.carter@creativesocialstrategies.com,+1-429-303-7595,"Senior Account Manager","Creative Social Strategies",ACCOUNT_MANAGEMENT,VP,https://linkedin.com/in/jennifer-carter-1441
Donald,Miller,donald.miller@creativesocialstrategies.com,+1-420-652-7597,"Strategist","Creative Social Strategies",STRATEGY_PLANNING,MANAGER,https://linkedin.com/in/donald-miller-4722
Shirley,Rodriguez,shirley.rodriguez@goldsearchsolutions.com,+1-731-550-9504,"Social Media Strategist","Gold Search Solutions",SOCIAL_MEDIA,EXECUTIVE,https://linkedin.com/in/shirley-rodriguez-6709
Eric,Walker,eric.walker@goldsearchsolutions.com,+1-789-662-3101,"Business Development Manager","Gold Search Solutions",BUSINESS_DEVELOPMENT,EXECUTIVE,https://linkedin.com/in/eric-walker-5962
William,Jackson,william.jackson@creativesociallabs.com,+1-393-253-4328,"Associate Media Buyer","Creative Social Labs",MEDIA_BUYING,EXECUTIVE,https://linkedin.com/in/william-jackson-3122
Steven,Evans,steven.evans@creativesociallabs.com,+1-987-999-3565,"Digital Marketing Specialist","Creative Social Labs",DIGITAL_MARKETING,COORDINATOR,https://linkedin.com/in/steven-evans-9227
Christopher,Wilson,christopher.wilson@coreprogrammaticventures.com,+1-713-499-8883,"Strategic Planner","Core Programmatic Ventures",STRATEGY_PLANNING,VP,https://linkedin.com/in/christopher-wilson-9689
Kimberly,Lopez,kimberly.lopez@coreprogrammaticventures.com,+1-651-302-5869,"Digital Marketing Director","Core Programmatic Ventures",DIGITAL_MARKETING,ASSOCIATE,https://linkedin.com/in/kimberly-lopez-2514
Patricia,Martin,patricia.martin@maxsocialventures.com,+1-863-222-3367,"Social Media Specialist","Max Social Ventures",SOCIAL_MEDIA,MANAGER,https://linkedin.com/in/patricia-martin-7372
Emily,Torres,emily.torres@maxsocialventures.com,+1-380-955-5637,"Programmatic Manager","Max Social Ventures",PROGRAMMATIC,MANAGER,https://linkedin.com/in/emily-torres-5601
Sharon,Scott,sharon.scott@maxsocialventures.com,+1-806-465-2344,"BD Executive","Max Social Ventures",BUSINESS_DEVELOPMENT,DIRECTOR,https://linkedin.com/in/sharon-scott-4185
David,Morris,david.morris@maxsocialventures.com,+1-447-531-3222,"BD Executive","Max Social Ventures",BUSINESS_DEVELOPMENT,ASSOCIATE,https://linkedin.com/in/david-morris-8781
Carol,Cruz,carol.cruz@modernstrategicagency.com,+1-707-616-1025,"VP of Media Planning","Modern Strategic Agency",MEDIA_PLANNING,DIRECTOR,https://linkedin.com/in/carol-cruz-5136
Lisa,Nelson,lisa.nelson@modernstrategicagency.com,+1-528-773-8922,"Copywriter","Modern Strategic Agency",CREATIVE_SERVICES,MANAGER,https://linkedin.com/in/lisa-nelson-1225
Ryan,Brown,ryan.brown@primeperformancecollective.com,+1-278-445-5101,"Account Executive","Prime Performance Collective",ACCOUNT_MANAGEMENT,ASSOCIATE,https://linkedin.com/in/ryan-brown-7051
Emily,Roberts,emily.roberts@primeperformancecollective.com,+1-266-997-7233,"COO","Prime Performance Collective",LEADERSHIP,VP,https://linkedin.com/in/emily-roberts-2019
Ronald,Williams,ronald.williams@omegamediaassociates.com,+1-287-216-6377,"COO","Omega Media Associates",LEADERSHIP,EXECUTIVE,https://linkedin.com/in/ronald-williams-7029
Steven,White,steven.white@omegamediaassociates.com,+1-747-260-3981,"Copywriter","Omega Media Associates",CREATIVE_SERVICES,MANAGER,https://linkedin.com/in/steven-white-7624
James,Thompson,james.thompson@omegamediaassociates.com,+1-659-593-6071,"Social Media Specialist","Omega Media Associates",SOCIAL_MEDIA,MANAGER,https://linkedin.com/in/james-thompson-4804
Mary,Roberts,mary.roberts@omegamediaassociates.com,+1-511-834-8106,"CMO","Omega Media Associates",LEADERSHIP,EXECUTIVE,https://linkedin.com/in/mary-roberts-5636
Betty,Hall,betty.hall@modernbrandcreative.com,+1-675-338-5682,"Business Development Manager","Modern Brand Creative",BUSINESS_DEVELOPMENT,COORDINATOR,https://linkedin.com/in/betty-hall-3445
Stephen,Evans,stephen.evans@modernbrandcreative.com,+1-774-576-7562,"COO","Modern Brand Creative",LEADERSHIP,COORDINATOR,https://linkedin.com/in/stephen-evans-6836
Patricia,Lopez,patricia.lopez@golddigitalalliance.com,+1-772-950-5129,"Programmatic Specialist","Gold Digital Alliance",PROGRAMMATIC,ASSOCIATE,https://linkedin.com/in/patricia-lopez-6853
Melissa,Hernandez,melissa.hernandez@golddigitalalliance.com,+1-728-349-2688,"Media Buying Director","Gold Digital Alliance",MEDIA_BUYING,COORDINATOR,https://linkedin.com/in/melissa-hernandez-9885
Kevin,Turner,kevin.turner@golddigitalalliance.com,+1-524-915-5870,"Senior Strategist","Gold Digital Alliance",STRATEGY_PLANNING,DIRECTOR,https://linkedin.com/in/kevin-turner-3883
Angela,White,angela.white@golddigitalalliance.com,+1-626-418-7112,"Business Development Manager","Gold Digital Alliance",BUSINESS_DEVELOPMENT,EXECUTIVE,https://linkedin.com/in/angela-white-1774
Joseph,Torres,joseph.torres@purpledigitallabs.com,+1-903-209-8809,"Social Media Director","Purple Digital Labs",SOCIAL_MEDIA,DIRECTOR,https://linkedin.com/in/joseph-torres-6262
Christopher,Scott,christopher.scott@purpledigitallabs.com,+1-445-555-7673,"Strategic Planner","Purple Digital Labs",STRATEGY_PLANNING,VP,https://linkedin.com/in/christopher-scott-4640
William,Jones,william.jones@purpledigitallabs.com,+1-276-279-6513,"VP of Digital","Purple Digital Labs",DIGITAL_MARKETING,ASSOCIATE,https://linkedin.com/in/william-jones-2118
Karen,Davis,karen.davis@firstsocialdigital.com,+1-513-554-6388,"Account Executive","First Social Digital",ACCOUNT_MANAGEMENT,DIRECTOR,https://linkedin.com/in/karen-davis-2756
Betty,Nguyen,betty.nguyen@firstsocialdigital.com,+1-643-344-6719,"COO","First Social Digital",LEADERSHIP,EXECUTIVE,https://linkedin.com/in/betty-nguyen-6676
Kevin,Roberts,kevin.roberts@firstsocialdigital.com,+1-518-513-8634,"VP of Search","First Social Digital",SEARCH_MARKETING,ASSOCIATE,https://linkedin.com/in/kevin-roberts-7801
Gary,Parker,gary.parker@firstsocialdigital.com,+1-648-522-3197,"VP of Business Development","First Social Digital",BUSINESS_DEVELOPMENT,COORDINATOR,https://linkedin.com/in/gary-parker-3890
Sarah,Edwards,sarah.edwards@mediacontentassociates.com,+1-953-389-8284,"Programmatic Specialist","Media Content Associates",PROGRAMMATIC,VP,https://linkedin.com/in/sarah-edwards-9499
Timothy,Harris,timothy.harris@mediacontentassociates.com,+1-967-944-6493,"VP of Social","Media Content Associates",SOCIAL_MEDIA,MANAGER,https://linkedin.com/in/timothy-harris-6833
Paul,Hernandez,paul.hernandez@creativesearchgroup.com,+1-773-838-9963,"VP of Business Development","Creative Search Group",BUSINESS_DEVELOPMENT,EXECUTIVE,https://linkedin.com/in/paul-hernandez-9293
Donald,Scott,donald.scott@creativesearchgroup.com,+1-304-532-4394,"Senior Strategist","Creative Search Group",STRATEGY_PLANNING,VP,https://linkedin.com/in/donald-scott-4152
James,Thomas,james.thomas@creativesearchgroup.com,+1-782-731-4299,"President","Creative Search Group",LEADERSHIP,ASSOCIATE,https://linkedin.com/in/james-thomas-8811
Dorothy,Sanchez,dorothy.sanchez@strategiccontentdigital.com,+1-531-676-4032,"Search Marketing Manager","Strategic Content Digital",SEARCH_MARKETING,ASSOCIATE,https://linkedin.com/in/dorothy-sanchez-2209
Christopher,Brown,christopher.brown@strategiccontentdigital.com,+1-455-355-9882,"Strategist","Strategic Content Digital",STRATEGY_PLANNING,COORDINATOR,https://linkedin.com/in/christopher-brown-3621
Betty,Scott,betty.scott@coreprogrammaticstrategies.com,+1-218-767-8493,"BD Executive","Core Programmatic Strategies",BUSINESS_DEVELOPMENT,DIRECTOR,https://linkedin.com/in/betty-scott-2536
Kenneth,Baker,kenneth.baker@coreprogrammaticstrategies.com,+1-252-515-7104,"Programmatic Director","Core Programmatic Strategies",PROGRAMMATIC,VP,https://linkedin.com/in/kenneth-baker-4951
Jason,Moore,jason.moore@coreprogrammaticstrategies.com,+1-240-222-9033,"Partner","Core Programmatic Strategies",LEADERSHIP,DIRECTOR,https://linkedin.com/in/jason-moore-2313
Christopher,Evans,christopher.evans@orangeprogrammaticcollective.com,+1-262-920-5934,"VP of Accounts","Orange Programmatic Collective",ACCOUNT_MANAGEMENT,VP,https://linkedin.com/in/christopher-evans-3096
James,Johnson,james.johnson@orangeprogrammaticcollective.com,+1-885-249-2985,"Analytics Director","Orange Programmatic Collective",ANALYTICS_INSIGHTS,VP,https://linkedin.com/in/james-johnson-4213
Joseph,Hall,joseph.hall@smartdigitalstudios.com,+1-229-713-6525,"VP of Business Development","Smart Digital Studios",BUSINESS_DEVELOPMENT,MANAGER,https://linkedin.com/in/joseph-hall-6223
Susan,Hernandez,susan.hernandez@smartdigitalstudios.com,+1-413-705-5462,"VP of Digital","Smart Digital Studios",DIGITAL_MARKETING,EXECUTIVE,https://linkedin.com/in/susan-hernandez-5837
Edward,Garcia,edward.garcia@modernsocialsolutions.com,+1-719-477-8872,"SEM Director","Modern Social Solutions",SEARCH_MARKETING,EXECUTIVE,https://linkedin.com/in/edward-garcia-5697
Shirley,Parker,shirley.parker@modernsocialsolutions.com,+1-223-465-8793,"SEM Specialist","Modern Social Solutions",SEARCH_MARKETING,VP,https://linkedin.com/in/shirley-parker-3087
Karen,Turner,karen.turner@modernsocialsolutions.com,+1-488-372-2073,"VP of Search","Modern Social Solutions",SEARCH_MARKETING,DIRECTOR,https://linkedin.com/in/karen-turner-7086
Mary,Jackson,mary.jackson@omegabrandsolutions.com,+1-788-935-6114,"BD Director","Omega Brand Solutions",BUSINESS_DEVELOPMENT,VP,https://linkedin.com/in/mary-jackson-2414
Mary,Wright,mary.wright@omegabrandsolutions.com,+1-616-956-5300,"VP of Search","Omega Brand Solutions",SEARCH_MARKETING,EXECUTIVE,https://linkedin.com/in/mary-wright-9261
Jeffrey,Jackson,jeffrey.jackson@redbrandcommunications.com,+1-993-456-3919,"Senior Analyst","Red Brand Communications",ANALYTICS_INSIGHTS,VP,https://linkedin.com/in/jeffrey-jackson-9184
Thomas,Carter,thomas.carter@redbrandcommunications.com,+1-485-764-1739,"Senior Creative Director","Red Brand Communications",CREATIVE_SERVICES,ASSOCIATE,https://linkedin.com/in/thomas-carter-7067
Patricia,King,patricia.king@sigmainfluencerinteractive.com,+1-539-896-8789,"VP of Creative","Sigma Influencer Interactive",CREATIVE_SERVICES,EXECUTIVE,https://linkedin.com/in/patricia-king-6658
Jessica,Martin,jessica.martin@sigmainfluencerinteractive.com,+1-516-608-5033,"VP of Programmatic","Sigma Influencer Interactive",PROGRAMMATIC,DIRECTOR,https://linkedin.com/in/jessica-martin-9706
Sharon,Thomas,sharon.thomas@sigmainfluencerinteractive.com,+1-889-235-3455,"Associate Media Planner","Sigma Influencer Interactive",MEDIA_PLANNING,MANAGER,https://linkedin.com/in/sharon-thomas-5282
Mary,Diaz,mary.diaz@puremediacollective.com,+1-597-606-4000,"Senior Creative Director","Pure Media Collective",CREATIVE_SERVICES,MANAGER,https://linkedin.com/in/mary-diaz-9920
George,Johnson,george.johnson@puremediacollective.com,+1-427-383-4961,"Programmatic Manager","Pure Media Collective",PROGRAMMATIC,MANAGER,https://linkedin.com/in/george-johnson-7302
Edward,Rodriguez,edward.rodriguez@puremediacollective.com,+1-239-887-2938,"Programmatic Specialist","Pure Media Collective",PROGRAMMATIC,MANAGER,https://linkedin.com/in/edward-rodriguez-4752
Paul,Brown,paul.brown@brightcontentsolutions.com,+1-442-974-6938,"President","Bright Content Solutions",LEADERSHIP,VP,https://linkedin.com/in/paul-brown-4534
Sandra,Stewart,sandra.stewart@brightcontentsolutions.com,+1-616-900-2736,"COO","Bright Content Solutions",LEADERSHIP,VP,https://linkedin.com/in/sandra-stewart-3852
George,Roberts,george.roberts@apexmediamedia.com,+1-409-373-8044,"Account Executive","Apex Media Media",ACCOUNT_MANAGEMENT,ASSOCIATE,https://linkedin.com/in/george-roberts-5107
Thomas,Reyes,thomas.reyes@apexmediamedia.com,+1-348-458-1129,"Search Marketing Manager","Apex Media Media",SEARCH_MARKETING,MANAGER,https://linkedin.com/in/thomas-reyes-1409
Steven,Nguyen,steven.nguyen@apexmediamedia.com,+1-779-365-5924,"VP of Analytics","Apex Media Media",ANALYTICS_INSIGHTS,COORDINATOR,https://linkedin.com/in/steven-nguyen-3695
Brian,Morris,brian.morris@brightsocialgroup.com,+1-908-859-1577,"VP of Programmatic","Bright Social Group",PROGRAMMATIC,EXECUTIVE,https://linkedin.com/in/brian-morris-8627
Jeffrey,Thompson,jeffrey.thompson@brightsocialgroup.com,+1-269-344-3140,"BD Executive","Bright Social Group",BUSINESS_DEVELOPMENT,DIRECTOR,https://linkedin.com/in/jeffrey-thompson-7196
Michelle,Diaz,michelle.diaz@strategicprogrammaticlabs.com,+1-279-371-6247,"VP of Media Buying","Strategic Programmatic Labs",MEDIA_BUYING,EXECUTIVE,https://linkedin.com/in/michelle-diaz-3647
Brenda,Thompson,brenda.thompson@strategicprogrammaticlabs.com,+1-580-501-5062,"Social Media Director","Strategic Programmatic Labs",SOCIAL_MEDIA,COORDINATOR,https://linkedin.com/in/brenda-thompson-2160
John,Diaz,john.diaz@futureperformancedigital.com,+1-202-904-2387,"VP of Creative","Future Performance Digital",CREATIVE_SERVICES,VP,https://linkedin.com/in/john-diaz-5140
Kevin,Edwards,kevin.edwards@futureperformancedigital.com,+1-962-247-3189,"Digital Marketing Specialist","Future Performance Digital",DIGITAL_MARKETING,DIRECTOR,https://linkedin.com/in/kevin-edwards-1808
Andrew,Lewis,andrew.lewis@futureperformancedigital.com,+1-254-665-4798,"Search Strategist","Future Performance Digital",SEARCH_MARKETING,MANAGER,https://linkedin.com/in/andrew-lewis-5359
Sarah,Wright,sarah.wright@futureperformancedigital.com,+1-776-356-8480,"VP of Analytics","Future Performance Digital",ANALYTICS_INSIGHTS,MANAGER,https://linkedin.com/in/sarah-wright-5857
Stephanie,Morris,stephanie.morris@coremedianetwork.com,+1-259-663-5013,"Senior Media Buyer","Core Media Network",MEDIA_BUYING,VP,https://linkedin.com/in/stephanie-morris-1972
Lisa,Martinez,lisa.martinez@coremedianetwork.com,+1-585-687-9962,"VP of Accounts","Core Media Network",ACCOUNT_MANAGEMENT,ASSOCIATE,https://linkedin.com/in/lisa-martinez-6934
Kevin,Rodriguez,kevin.rodriguez@primestrategicstudios.com,+1-906-408-3317,"VP of Search","Prime Strategic Studios",SEARCH_MARKETING,EXECUTIVE,https://linkedin.com/in/kevin-rodriguez-7388
William,Lopez,william.lopez@primestrategicstudios.com,+1-217-570-3866,"Copywriter","Prime Strategic Studios",CREATIVE_SERVICES,MANAGER,https://linkedin.com/in/william-lopez-8272
Jason,Collins,jason.collins@orangecontentinteractive.com,+1-903-282-7059,"Programmatic Trader","Orange Content Interactive",PROGRAMMATIC,DIRECTOR,https://linkedin.com/in/jason-collins-5134
Robert,King,robert.king@orangecontentinteractive.com,+1-502-793-2471,"Account Manager","Orange Content Interactive",ACCOUNT_MANAGEMENT,ASSOCIATE,https://linkedin.com/in/robert-king-8168
Karen,Flores,karen.flores@redcontentcollective.com,+1-323-525-5513,"Analytics Manager","Red Content Collective",ANALYTICS_INSIGHTS,EXECUTIVE,https://linkedin.com/in/karen-flores-7186
Edward,Perez,edward.perez@redcontentcollective.com,+1-502-899-5219,"VP of Media Planning","Red Content Collective",MEDIA_PLANNING,COORDINATOR,https://linkedin.com/in/edward-perez-9916
Susan,Parker,susan.parker@redcontentcollective.com,+1-709-216-6894,"Art Director","Red Content Collective",CREATIVE_SERVICES,COORDINATOR,https://linkedin.com/in/susan-parker-3673
Cynthia,Murphy,cynthia.murphy@apexprogrammaticmarketing.com,+1-831-982-8648,"Copywriter","Apex Programmatic Marketing",CREATIVE_SERVICES,COORDINATOR,https://linkedin.com/in/cynthia-murphy-9158
Timothy,Anderson,timothy.anderson@apexprogrammaticmarketing.com,+1-938-596-8507,"Media Planner","Apex Programmatic Marketing",MEDIA_PLANNING,VP,https://linkedin.com/in/timothy-anderson-5114
Jason,Murphy,jason.murphy@premiermediaassociates.com,+1-935-692-6626,"Strategic Planner","Premier Media Associates",STRATEGY_PLANNING,MANAGER,https://linkedin.com/in/jason-murphy-8281
Kevin,Morris,kevin.morris@premiermediaassociates.com,+1-521-522-1962,"BD Director","Premier Media Associates",BUSINESS_DEVELOPMENT,EXECUTIVE,https://linkedin.com/in/kevin-morris-7232
Nicholas,Sanchez,nicholas.sanchez@premiermediaassociates.com,+1-543-858-3014,"VP of Media Buying","Premier Media Associates",MEDIA_BUYING,EXECUTIVE,https://linkedin.com/in/nicholas-sanchez-8812
George,Morales,george.morales@premiermediaassociates.com,+1-375-390-9107,"VP of Accounts","Premier Media Associates",ACCOUNT_MANAGEMENT,COORDINATOR,https://linkedin.com/in/george-morales-8630
Andrew,Williams,andrew.williams@strategicbranddigital.com,+1-545-368-4097,"Social Media Specialist","Strategic Brand Digital",SOCIAL_MEDIA,EXECUTIVE,https://linkedin.com/in/andrew-williams-6866
Karen,Gomez,karen.gomez@strategicbranddigital.com,+1-225-706-4006,"Business Development Manager","Strategic Brand Digital",BUSINESS_DEVELOPMENT,COORDINATOR,https://linkedin.com/in/karen-gomez-3394
Angela,Gonzalez,angela.gonzalez@peakinfluencerassociates.com,+1-887-979-2774,"Media Buyer","Peak Influencer Associates",MEDIA_BUYING,EXECUTIVE,https://linkedin.com/in/angela-gonzalez-9675
Donald,Baker,donald.baker@peakinfluencerassociates.com,+1-213-660-5352,"CMO","Peak Influencer Associates",LEADERSHIP,EXECUTIVE,https://linkedin.com/in/donald-baker-2910
Jason,Harris,jason.harris@peakinfluencerassociates.com,+1-675-485-9168,"VP of Search","Peak Influencer Associates",SEARCH_MARKETING,VP,https://linkedin.com/in/jason-harris-4306
Anthony,Green,anthony.green@peakinfluencerassociates.com,+1-372-496-7504,"VP of Programmatic","Peak Influencer Associates",PROGRAMMATIC,DIRECTOR,https://linkedin.com/in/anthony-green-5993
Jessica,Sanchez,jessica.sanchez@creativeperformancenetwork.com,+1-749-615-1096,"BD Executive","Creative Performance Network",BUSINESS_DEVELOPMENT,ASSOCIATE,https://linkedin.com/in/jessica-sanchez-2184
Christopher,Evans,christopher.evans@creativeperformancenetwork.com,+1-355-478-9783,"Programmatic Specialist","Creative Performance Network",PROGRAMMATIC,VP,https://linkedin.com/in/christopher-evans-1198
Sandra,Martinez,sandra.martinez@premiersearchdigital.com,+1-586-969-2864,"Creative Director","Premier Search Digital",CREATIVE_SERVICES,EXECUTIVE,https://linkedin.com/in/sandra-martinez-8871
Matthew,Ramirez,matthew.ramirez@premiersearchdigital.com,+1-356-955-2810,"Account Director","Premier Search Digital",ACCOUNT_MANAGEMENT,EXECUTIVE,https://linkedin.com/in/matthew-ramirez-5907
Eric,Roberts,eric.roberts@premiersearchdigital.com,+1-407-745-2206,"Senior Account Manager","Premier Search Digital",ACCOUNT_MANAGEMENT,EXECUTIVE,https://linkedin.com/in/eric-roberts-5641
Sarah,Morris,sarah.morris@premiersearchdigital.com,+1-986-407-3952,"Strategic Planner","Premier Search Digital",STRATEGY_PLANNING,COORDINATOR,https://linkedin.com/in/sarah-morris-5093
Karen,Hill,karen.hill@premierperformancemedia.com,+1-275-900-1051,"VP of Business Development","Premier Performance Media",BUSINESS_DEVELOPMENT,ASSOCIATE,https://linkedin.com/in/karen-hill-8927
Ronald,Jones,ronald.jones@premierperformancemedia.com,+1-973-913-1981,"VP of Accounts","Premier Performance Media",ACCOUNT_MANAGEMENT,VP,https://linkedin.com/in/ronald-jones-3171
Melissa,Hill,melissa.hill@premierperformancemedia.com,+1-377-741-2322,"Programmatic Trader","Premier Performance Media",PROGRAMMATIC,VP,https://linkedin.com/in/melissa-hill-7511
Susan,King,susan.king@apexcontentinteractive.com,+1-565-557-6490,"Partner","Apex Content Interactive",LEADERSHIP,DIRECTOR,https://linkedin.com/in/susan-king-8421
Thomas,Reyes,thomas.reyes@apexcontentinteractive.com,+1-959-528-1111,"Senior Strategist","Apex Content Interactive",STRATEGY_PLANNING,ASSOCIATE,https://linkedin.com/in/thomas-reyes-2866
